zip_code,city,date,max_temp_f,min_temp_f,condition
90045,Los Angeles,2026-06-06,70.3,61.9,Overcast
90045,Los Angeles,2026-06-07,70.3,61.8,Sunny
90045,Los Angeles,2026-06-08,71.4,62.5,Sunny
10001,New York,2026-06-06,100.6,66.9,Patchy rain nearby
10001,New York,2026-06-07,84.0,67.2,Patchy rain nearby
10001,New York,2026-06-08,77.5,60.0,Sunny
60601,Chicago,2026-06-06,78.7,63.0,Heavy rain
60601,Chicago,2026-06-07,72.4,63.4,Moderate rain
60601,Chicago,2026-06-08,67.4,65.9,Heavy rain
98101,Seattle,2026-06-06,54.4,45.5,Moderate rain
98101,Seattle,2026-06-07,65.6,43.9,Patchy rain nearby
98101,Seattle,2026-06-08,61.2,48.2,Patchy rain nearby
33101,Miami,2026-06-06,82.9,73.4,Patchy rain nearby
33101,Miami,2026-06-07,83.8,79.9,Patchy rain nearby
33101,Miami,2026-06-08,84.4,80.3,Sunny
77001,Houston,2026-06-06,89.9,75.6,Patchy rain nearby
77001,Houston,2026-06-07,90.3,76.9,Patchy rain nearby
77001,Houston,2026-06-08,89.0,78.8,Patchy rain nearby
85001,Phoenix,2026-06-06,104.1,73.6,Sunny
85001,Phoenix,2026-06-07,102.3,82.9,Cloudy
85001,Phoenix,2026-06-08,102.9,79.2,Sunny
19101,Philadelphia,2026-06-06,92.1,68.0,Patchy rain nearby
19101,Philadelphia,2026-06-07,87.6,66.4,Patchy rain nearby
19101,Philadelphia,2026-06-08,82.8,62.2,Sunny
78201,San Antonio,2026-06-06,93.2,73.8,Moderate rain
78201,San Antonio,2026-06-07,89.5,75.5,Patchy rain nearby
78201,San Antonio,2026-06-08,89.9,73.2,Moderate rain
92101,San Diego,2026-06-06,68.6,61.3,Patchy rain nearby
92101,San Diego,2026-06-07,68.2,62.3,Sunny
92101,San Diego,2026-06-08,69.7,61.4,Sunny
75201,Dallas,2026-06-06,88.4,71.2,Moderate rain
75201,Dallas,2026-06-07,90.6,70.4,Moderate rain
75201,Dallas,2026-06-08,91.7,74.8,Partly Cloudy
95101,San Jose,2026-06-06,78.3,49.1,Sunny
95101,San Jose,2026-06-07,80.3,45.8,Sunny
95101,San Jose,2026-06-08,71.8,49.8,Partly Cloudy
78701,Austin,2026-06-06,87.6,74.3,Heavy rain
78701,Austin,2026-06-07,87.2,74.7,Patchy rain nearby
78701,Austin,2026-06-08,92.0,73.9,Patchy rain nearby
30301,Atlanta,2026-06-06,93.0,62.1,Sunny
30301,Atlanta,2026-06-07,83.2,71.1,Partly Cloudy
30301,Atlanta,2026-06-08,88.8,71.8,Partly Cloudy
28201,Charlotte,2026-06-06,89.7,63.1,Sunny
28201,Charlotte,2026-06-07,90.7,67.1,Sunny
28201,Charlotte,2026-06-08,79.1,72.8,Patchy rain nearby
43201,Columbus,2026-06-06,87.6,67.5,Patchy rain nearby
43201,Columbus,2026-06-07,78.9,66.4,Moderate rain
43201,Columbus,2026-06-08,75.9,67.0,Patchy rain nearby
80201,Denver,2026-06-06,91.1,61.0,Patchy rain nearby
80201,Denver,2026-06-07,91.8,62.0,Sunny
80201,Denver,2026-06-08,90.6,64.2,Partly Cloudy
32801,Orlando,2026-06-06,90.7,65.7,Sunny
32801,Orlando,2026-06-07,93.0,70.1,Sunny
32801,Orlando,2026-06-08,95.2,73.2,Sunny
89101,Las Vegas,2026-06-06,99.4,76.3,Sunny
89101,Las Vegas,2026-06-07,96.3,66.1,Sunny
89101,Las Vegas,2026-06-08,96.0,65.2,Sunny
37201,Nashville,2026-06-06,85.6,67.8,Sunny
37201,Nashville,2026-06-07,70.7,67.6,Moderate rain
37201,Nashville,2026-06-08,78.5,67.7,Heavy rain
